2018-07-26 21:20:59,752 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 498; Parsing inputs
2018-07-26 21:20:59,762 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 510; self.fromTop = False
2018-07-26 21:20:59,772 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 511; self.minimal = False
2018-07-26 21:20:59,781 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 512; self.parametric = True
2018-07-26 21:20:59,791 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 513; self.circStr = 0.25 in
2018-07-26 21:20:59,800 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 514; self.circDiameter = 0.635
2018-07-26 21:20:59,809 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 515; self.offStr = 0 cm
2018-07-26 21:20:59,818 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 516; self.offVal = 0.0
2018-07-26 21:20:59,828 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 517; self.benchmark = True
2018-07-26 21:20:59,838 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 165; config file write
2018-07-26 21:21:00,036 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 754; Creating parametric dogbones
2018-07-26 21:21:00,046 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 768; processing component  = Component3
2018-07-26 21:21:00,056 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 769; processing occurrence  = Component3:1
2018-07-26 21:21:00,065 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 796; Processing Face = 69
2018-07-26 21:21:00,074 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 258
2018-07-26 21:21:00,086 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:00,097 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 247 added to adjacent edge list
2018-07-26 21:21:00,107 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 248 added to adjacent edge list
2018-07-26 21:21:00,118 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-5.648538041417685,3.6576,-37.36565640302673)
2018-07-26 21:21:00,127 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,137 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,146 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-5.648538041417685,3.6576,-37.36565640302673)
2018-07-26 21:21:00,428 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 264
2018-07-26 21:21:00,444 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:00,456 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 250 added to adjacent edge list
2018-07-26 21:21:00,466 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 251 added to adjacent edge list
2018-07-26 21:21:00,479 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-25.304184180804484,3.6576,-37.36565640302673)
2018-07-26 21:21:00,489 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,498 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,508 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-25.304184180804484,3.6576,-37.36565640302673)
2018-07-26 21:21:00,603 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 266
2018-07-26 21:21:00,614 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:00,624 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 20172 added to adjacent edge list
2018-07-26 21:21:00,634 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 252 added to adjacent edge list
2018-07-26 21:21:00,645 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-36.60126026363985,3.6576,-37.36565640302673)
2018-07-26 21:21:00,655 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,664 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
